comment_id,author,text,time,votes,photo
UgyekQhNs1ghtszzq-h4AaABAg,@triseo8885,Sebut aja namanya tak butuh koar koar,9 jam yang lalu,3,https://yt3.ggpht.com/ytc/AIdro_mJRHZcCGpeXmZIYIzuboqUH57HPb8vLH0C_Qj9DCFgj7gd=s88-c-k-c0x00ffffff-no-rj
UgylzNQhdqzg0riA0lR4AaABAg,@kacangkatom,Yg di undang wapres ngaku di bayar tangkap pak,8 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_mmkFbVre8Zhjrj8Mf_IPRhwHYbsPARN9pmkNbqIzmA76QuJDkSb74nrsHATmVeWtlysA=s88-c-k-c0x00ffffff-no-rj
UgwZZbGOUMXkpBJXG-R4AaABAg,@AndySerbamsgt,"Omon OMON, barang barang tambah mahal, saya baru aja ganti oli motor, kaget bengkel minta 70ribu. Sebelumnya cuma 55ribu",6 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_nzf_38osY0eh7aPQbfKu6wRof-DTAs7pSaNm9ZMqGPUJFfWyS5SFzzSHFBOz2qGsV8gw=s88-c-k-c0x00ffffff-no-rj
UgxgZJUCiOdJnH9sgaV4AaABAg,@LadiyaMutma-o3o,Yg dibayar yg gak demo,8 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_la-H9d58afKmA1gx1QVtyU-KPQL-P_-zFly6BX3pJlvct2ymNDOK1_281YXJGJXUfWug=s88-c-k-c0x00ffffff-no-rj
UgxUwysZWeewc6Mo_p94AaABAg,@JeroSamGem,"Lo enak anak orang kaya, bisa pada kuliah, trus bisa pada demo sambil foto sini foto sana update status. Lah gw sama 2 adek-adek gw mesti berbagi uang jajan ke sekolah. Salah kami apa sih kalau kami dapat makan siang gratis? Seru seorang anak sekolah di desa kimbek negara konosa. Cerita tukang seblak di samping pos RW tadi pagi.",8 jam yang lalu,1,https://yt3.ggpht.com/ytc/AIdro_lOLm-ghLUyNeR63dHQLSJT7oFA7-F0BvqAJOjYEsiDZh4OjaFpfbdHReaGhCF6aq9AXw=s88-c-k-c0x00ffffff-no-rj
UgytRF7wCxcBHOAjFoJ4AaABAg,@MamaZainFaqih,Ciri - ciri demo bayaran adalah yg membela kebohongan,5 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_m-wvAwKyNneCMdoErnw329VPrjfATdBmyawkiFTmB0Tmcb0mbPWFH98RzurWL1m0u29A=s88-c-k-c0x00ffffff-no-rj
UgxZna-W8-k8pkD-iRx4AaABAg,@ir208,"GA PERLU BANGET NGOMONG GITU.. NEGARA KITA NEGARA HUKUM.. ""JIKA TERBUKTI MEMBAYAR UNTUK KERUSUHAN TANGKAP AJA"" 
APA INI SEKEDAR MENAKUT²I BIAR TAKUT TIDAK ADA DEMO..?
STATEMENT YG BIKIN LEBIH GADUH NANTINYA..",8 jam yang lalu (diedit),1,https://yt3.ggpht.com/ytc/AIdro_nqYqwSC57NNAR6YnhK-Zp0uGyH4RwRKiWefCl8L77qFgT8=s88-c-k-c0x00ffffff-no-rj
UgxqjZqiFOwcDIAHqqJ4AaABAg,@ChecheKeripikpisang,"Hadew stiap ada demo sllu  di kaitkan ada orng d blkngnya,  intinya  koreksi saja drii sndri pak, GK usah berdalih itu ini itu ini",8 jam yang lalu (diedit),0,https://yt3.ggpht.com/ytc/AIdro_mS0Mc60NZyxaJydSkBsakuZ7vbNBZ-xu91vkuivg-cKqxwLCjAfub72z7AfatrbICoJg=s88-c-k-c0x00ffffff-no-rj
Ugy6-4_iPEmN4a-cblJ4AaABAg.AYQw8us3FkKAYRIQ6mi76O,@MayGodAlwaysBlessMee,"Iya Krn jagoan lu kalah itu aja, simpel",5 jam yang lalu,0,https://yt3.ggpht.com/LYxkKcGOaeLBC3IItTOdwU7e1hTTgV-u1t-09wRYFmhMkl85mj36ugKYHHdWJD_qh_krWk_sDw=s88-c-k-c0x00ffffff-no-rj
Ugy6-4_iPEmN4a-cblJ4AaABAg.AYQw8us3FkKAYRK_FZocs3,@Asmaddulalim,Ngakak gak enak jagoan mu kalah,5 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_mHvUglQtLRiBOR3UH27FcNcHYHMrm7xI1YvMI9Yss=s88-c-k-c0x00ffffff-no-rj
Ugy6-4_iPEmN4a-cblJ4AaABAg.AYQw8us3FkKAYRLaE286fu,@imannurul264,Buzer lg ngoceh 😂😂😂,4 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_lKJNtx3lR6AtchbshAN7xSe1DS5_AbF1MZapm4-vtqNow=s88-c-k-c0x00ffffff-no-rj
UgzY5YsHIUOfdqHm1L54AaABAg.AYQsFMTgiM_AYQvIUG_zQS,@NoviIi-i5i,Gak enak kalah kt pak prabowo😂😂😂😂,8 jam yang lalu,1,https://yt3.ggpht.com/ytc/AIdro_mVYsh4_7tPnhk4WYSdJnsULsk1BHYmbthLeH2eoiV5JeggNIweaGnRuf_CWe9Mf5bHig=s88-c-k-c0x00ffffff-no-rj
UgzY5YsHIUOfdqHm1L54AaABAg.AYQsFMTgiM_AYQxdfZcbKv,@SuroBledeg,"​ @NoviIi-i5i 
😂😂 akhirnya mereka sekarang bisanya hanya nyinyir...",8 jam yang lalu,0,https://yt3.ggpht.com/IUeMgmgtZBFtigSNV1BnlZ5_xPBAY6SJSXm0CvI8bQmC-BZETeiQxk1o63ohHpUMcIyfGCHr=s88-c-k-c0x00ffffff-no-rj
UgzY5YsHIUOfdqHm1L54AaABAg.AYQsFMTgiM_AYR7EIEcEJ_,@embunmalam7848,Sumua negara didunia ini pejabatnya banyak yg korup tidak hanya di indonesia bro tapi sekarang mulai di tindak bro bersabarlah.,6 jam yang lalu,1,https://yt3.ggpht.com/ytc/AIdro_mN8tuEvpDNcU-xuyJEAQR1tHqEOZMJ5qy11HS1IGR0CKY=s88-c-k-c0x00ffffff-no-rj
